2025/11/11 00:00:09.486 Cnt: 00429825	State: 04	Flags: 0x04330100	Pos:-1.938e+00	Vel: 7.151e+01	Iq: 1.032e+00	DcV: 2.663e+01	DcI: 3.853e-02	DcP: 2.477e-01	ExV: 2.651e+01	ExI: 1.073e+00	ExP: 2.833e+01	WoV: 1.176e+01	WoI: 3.271e-01	WoP: 3.845e+00	Tm:-2.965e+02	Tr: 2.982e+02
2025/11/11 00:00:19.542 Cnt: 00429835	State: 04	Flags: 0x04330000	Pos:-3.976e+00	Vel: 1.558e+02	Iq: 1.984e+00	DcV: 2.612e+01	DcI: 2.706e-01	DcP:-4.518e+00	ExV: 2.655e+01	ExI: 1.418e+00	ExP: 3.762e+01	WoV: 1.175e+01	WoI: 3.232e-01	WoP: 3.797e+00	Tm:-4.465e+02	Tr: 4.469e+02
2025/11/11 00:00:29.584 Cnt: 00429845	State: 04	Flags: 0x04330000	Pos:-2.310e+00	Vel: 2.477e+02	Iq: 3.253e+00	DcV: 2.537e+01	DcI: 4.899e-01	DcP:-1.136e+01	ExV: 2.655e+01	ExI: 1.518e+00	ExP: 4.030e+01	WoV: 1.175e+01	WoI: 3.248e-01	WoP: 3.816e+00	Tm:-3.397e+02	Tr: 3.534e+02
2025/11/11 00:00:39.639 Cnt: 00429855	State: 04	Flags: 0x04330000	Pos:-2.163e+00	Vel: 1.393e+02	Iq: 2.780e+01	DcV: 2.461e+01	DcI: 2.184e-02	DcP:-1.894e-02	ExV: 2.654e+01	ExI: 1.458e+00	ExP: 3.868e+01	WoV: 1.175e+01	WoI: 3.233e-01	WoP: 3.799e+00	Tm:-2.590e+02	Tr: 2.720e+02
2025/11/11 00:00:49.691 Cnt: 00429865	State: 04	Flags: 0x04330000	Pos: 2.192e-01	Vel: 2.019e+02	Iq: 2.720e+00	DcV: 2.409e+01	DcI: 3.652e-01	DcP:-7.134e+00	ExV: 2.653e+01	ExI: 1.967e+00	ExP: 5.212e+01	WoV: 1.173e+01	WoI: 3.196e-01	WoP: 3.750e+00	Tm:-1.023e+02	Tr: 1.514e+02
2025/11/11 00:00:59.743 Cnt: 00429875	State: 04	Flags: 0x04330000	Pos:-1.919e-01	Vel: 3.851e+02	Iq: 5.102e+00	DcV: 2.346e+01	DcI: 1.434e+00	DcP:-2.990e+01	ExV: 2.654e+01	ExI: 1.904e+00	ExP: 5.051e+01	WoV: 1.173e+01	WoI: 3.200e-01	WoP: 3.755e+00	Tm:-1.410e+02	Tr: 2.426e+02
2025/11/11 00:01:09.797 Cnt: 00429885	State: 04	Flags: 0x04130080	Pos:-3.372e+00	Vel: 4.548e+02	Iq: 5.964e+00	DcV: 2.385e+01	DcI: 2.399e+00	DcP:-4.431e+01	ExV: 2.618e+01	ExI: 3.016e-01	ExP: 7.848e+00	WoV: 1.173e+01	WoI: 3.270e-01	WoP: 3.835e+00	Tm:-4.127e+02	Tr: 4.318e+02
2025/11/11 00:01:19.839 Cnt: 00429895	State: 04	Flags: 0x04030080	Pos:-1.754e+00	Vel: 7.071e+01	Iq: 2.911e+01	DcV: 2.371e+01	DcI: 6.615e-03	DcP: 1.565e-01	ExV: 2.624e+01	ExI: 3.095e-01	ExP: 8.092e+00	WoV: 1.173e+01	WoI: 3.194e-01	WoP: 3.747e+00	Tm:-1.985e+02	Tr: 2.002e+02
2025/11/11 00:01:29.895 Cnt: 00429905	State: 04	Flags: 0x04130080	Pos:-3.648e-01	Vel: 2.601e+02	Iq: 3.341e+00	DcV: 2.406e+01	DcI: 7.404e-01	DcP:-1.398e+01	ExV: 2.636e+01	ExI: 3.265e-01	ExP: 8.549e+00	WoV: 1.173e+01	WoI: 3.250e-01	WoP: 3.811e+00	Tm:-1.647e+02	Tr: 2.072e+02
2025/11/11 00:01:39.951 Cnt: 00429915	State: 04	Flags: 0x04130080	Pos:-1.215e+00	Vel: 7.496e+01	Iq: 1.044e+00	DcV: 2.410e+01	DcI: 3.942e-02	DcP:-5.900e-02	ExV: 2.624e+01	ExI: 3.021e-01	ExP: 7.900e+00	WoV: 1.174e+01	WoI: 3.249e-01	WoP: 3.813e+00	Tm:-2.294e+02	Tr: 2.313e+02
2025/11/11 00:01:50.003 Cnt: 00429925	State: 04	Flags: 0x04130080	Pos:-1.304e+00	Vel: 3.619e+02	Iq: 4.781e+00	DcV: 2.462e+01	DcI: 1.252e+00	DcP:-2.754e+01	ExV: 2.616e+01	ExI: 3.066e-01	ExP: 8.003e+00	WoV: 1.173e+01	WoI: 3.242e-01	WoP: 3.803e+00	Tm:-2.506e+02	Tr: 3.002e+02
