2025/11/19 00:00:10.591 Cnt: 00000009	State: 02	Flags: 0x04070080	Pos: 4.099e+00	Vel: 7.540e+01	Iq: 3.849e+01	DcV: 9.504e+00	DcI: 7.248e-03	DcP: 6.881e-02	ExV: 2.524e+01	ExI: 2.791e-01	ExP: 6.978e+00	WoV: 1.175e+01	WoI: 3.267e-01	WoP: 3.834e+00	Tm:-3.182e+01	Tr: 5.826e+01
2025/11/19 00:00:20.697 Cnt: 00000019	State: 02	Flags: 0x04170080	Pos: 1.676e+00	Vel: 1.166e+02	Iq: 1.665e+00	DcV: 9.612e+00	DcI: 3.275e-01	DcP:-2.369e+00	ExV: 2.523e+01	ExI: 2.867e-01	ExP: 7.218e+00	WoV: 1.172e+01	WoI: 3.501e-01	WoP: 4.101e+00	Tm:-2.678e+02	Tr: 2.686e+02
2025/11/19 00:00:30.532 Cnt: 00000029	State: 02	Flags: 0x04170080	Pos: 4.416e+00	Vel: 1.358e+02	Iq: 1.778e+00	DcV: 1.032e+01	DcI: 4.666e-01	DcP:-3.649e+00	ExV: 2.522e+01	ExI: 2.757e-01	ExP: 6.924e+00	WoV: 1.173e+01	WoI: 3.400e-01	WoP: 3.987e+00	Tm:-1.934e+01	Tr: 6.833e+01
2025/11/19 00:00:40.501 Cnt: 00000039	State: 02	Flags: 0x04070080	Pos: 4.399e+00	Vel: 6.404e+01	Iq: 3.799e+01	DcV: 1.040e+01	DcI: 7.185e-03	DcP: 7.468e-02	ExV: 2.523e+01	ExI: 2.892e-01	ExP: 7.267e+00	WoV: 1.173e+01	WoI: 3.427e-01	WoP: 4.018e+00	Tm: 5.133e+00	Tr: 3.939e+01
2025/11/19 00:00:50.479 Cnt: 00000049	State: 04	Flags: 0x04130080	Pos: 3.633e+00	Vel: 2.355e+02	Iq: 3.110e+00	DcV: 1.091e+01	DcI: 1.106e+00	DcP:-1.136e+01	ExV: 2.522e+01	ExI: 2.961e-01	ExP: 7.413e+00	WoV: 1.172e+01	WoI: 3.331e-01	WoP: 3.900e+00	Tm:-8.550e+01	Tr: 1.509e+02
2025/11/19 00:01:00.476 Cnt: 00000059	State: 04	Flags: 0x04030080	Pos: 3.843e+00	Vel: 1.124e+02	Iq: 2.736e+01	DcV: 1.086e+01	DcI: 3.460e-02	DcP: 3.643e-02	ExV: 2.522e+01	ExI: 2.890e-01	ExP: 7.258e+00	WoV: 1.170e+01	WoI: 3.571e-01	WoP: 4.175e+00	Tm:-6.910e+01	Tr: 8.609e+01
2025/11/19 00:01:10.471 Cnt: 00000069	State: 04	Flags: 0x04130080	Pos: 3.120e+00	Vel: 2.207e+02	Iq: 2.926e+00	DcV: 1.129e+01	DcI: 8.712e-01	DcP:-9.551e+00	ExV: 2.523e+01	ExI: 2.906e-01	ExP: 7.294e+00	WoV: 1.171e+01	WoI: 3.513e-01	WoP: 4.110e+00	Tm:-1.639e+02	Tr: 1.922e+02
2025/11/19 00:01:20.470 Cnt: 00000079	State: 04	Flags: 0x04130080	Pos: 3.282e+00	Vel: 1.234e+02	Iq: 1.660e+00	DcV: 1.144e+01	DcI: 2.461e-01	DcP:-2.527e+00	ExV: 2.520e+01	ExI: 2.729e-01	ExP: 6.846e+00	WoV: 1.170e+01	WoI: 3.558e-01	WoP: 4.163e+00	Tm:-1.462e+02	Tr: 1.555e+02
2025/11/19 00:01:30.477 Cnt: 00000089	State: 04	Flags: 0x04030080	Pos: 4.525e+00	Vel: 6.893e+01	Iq: 3.769e+01	DcV: 1.141e+01	DcI: 7.024e-03	DcP: 8.012e-02	ExV: 2.521e+01	ExI: 2.818e-01	ExP: 7.072e+00	WoV: 1.170e+01	WoI: 3.486e-01	WoP: 4.080e+00	Tm: 2.007e+01	Tr: 3.169e+01
2025/11/19 00:01:40.506 Cnt: 00000099	State: 04	Flags: 0x04030080	Pos: 4.274e+00	Vel: 6.640e+01	Iq: 3.395e+01	DcV: 1.159e+01	DcI: 7.125e-03	DcP: 8.252e-02	ExV: 2.519e+01	ExI: 2.858e-01	ExP: 7.178e+00	WoV: 1.173e+01	WoI: 3.170e-01	WoP: 3.719e+00	Tm:-1.620e+01	Tr: 2.812e+01
2025/11/19 00:01:50.545 Cnt: 00000109	State: 04	Flags: 0x04030080	Pos: 4.091e+00	Vel: 1.564e+01	Iq: 3.162e+01	DcV: 1.159e+01	DcI: 7.046e-03	DcP: 8.159e-02	ExV: 2.518e+01	ExI: 3.161e-01	ExP: 7.940e+00	WoV: 1.173e+01	WoI: 3.197e-01	WoP: 3.749e+00	Tm:-4.222e+01	Tr: 4.259e+01
2025/11/19 00:02:00.603 Cnt: 00000119	State: 04	Flags: 0x04030080	Pos: 3.641e+00	Vel: 1.199e+01	Iq: 2.333e+01	DcV: 1.171e+01	DcI: 2.587e-02	DcP: 2.130e-01	ExV: 2.518e+01	ExI: 2.861e-01	ExP: 7.185e+00	WoV: 1.173e+01	WoI: 3.228e-01	WoP: 3.785e+00	Tm:-9.781e+01	Tr: 9.830e+01
2025/11/19 00:02:10.648 Cnt: 00000129	State: 04	Flags: 0x04130080	Pos: 1.514e+00	Vel: 1.807e+02	Iq: 2.399e+00	DcV: 1.182e+01	DcI: 7.099e-01	DcP:-6.146e+00	ExV: 2.520e+01	ExI: 3.130e-01	ExP: 7.869e+00	WoV: 1.173e+01	WoI: 3.200e-01	WoP: 3.754e+00	Tm:-2.940e+02	Tr: 2.987e+02
2025/11/19 00:02:20.705 Cnt: 00000139	State: 04	Flags: 0x04130080	Pos: 3.842e+00	Vel: 1.166e+02	Iq: 1.437e+00	DcV: 1.189e+01	DcI: 1.903e-01	DcP:-1.734e+00	ExV: 2.520e+01	ExI: 3.093e-01	ExP: 7.776e+00	WoV: 1.176e+01	WoI: 3.190e-01	WoP: 3.751e+00	Tm:-7.880e+01	Tr: 1.041e+02
2025/11/19 00:02:30.740 Cnt: 00000149	State: 04	Flags: 0x04030080	Pos: 3.868e+00	Vel: 1.246e+02	Iq: 3.025e+01	DcV: 1.188e+01	DcI: 4.611e-02	DcP: 7.796e-02	ExV: 2.519e+01	ExI: 2.936e-01	ExP: 7.362e+00	WoV: 1.176e+01	WoI: 3.231e-01	WoP: 3.799e+00	Tm:-6.893e+01	Tr: 8.628e+01
2025/11/19 00:02:40.799 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos: 4.782e+00	Vel: 1.910e+02	Iq: 2.539e+00	DcV: 1.259e+01	DcI: 6.924e-01	DcP:-6.711e+00	ExV: 2.519e+01	ExI: 3.025e-01	ExP: 7.593e+00	WoV: 1.176e+01	WoI: 3.177e-01	WoP: 3.735e+00	Tm: 2.025e+01	Tr: 7.704e+01
2025/11/19 00:02:50.859 Cnt: 00000169	State: 04	Flags: 0x04130080	Pos: 2.814e+00	Vel: 2.745e+02	Iq: 3.702e+00	DcV: 1.283e+01	DcI: 1.272e+00	DcP:-1.580e+01	ExV: 2.518e+01	ExI: 3.342e-01	ExP: 8.398e+00	WoV: 1.176e+01	WoI: 3.183e-01	WoP: 3.742e+00	Tm:-1.714e+02	Tr: 2.092e+02
