2025/11/21 00:00:13.048 Cnt: 00000009	State: 02	Flags: 0x04070080	Pos:-2.197e+00	Vel: 1.879e+01	Iq: 3.044e+01	DcV: 9.215e+00	DcI: 3.068e-02	DcP: 2.266e-01	ExV: 2.555e+01	ExI: 3.187e-01	ExP: 8.106e+00	WoV: 1.175e+01	WoI: 3.308e-01	WoP: 3.880e+00	Tm:-2.032e+02	Tr: 2.033e+02
2025/11/21 00:00:23.022 Cnt: 00000019	State: 02	Flags: 0x04170080	Pos:-2.137e+00	Vel: 1.237e+02	Iq: 1.688e+00	DcV: 9.538e+00	DcI: 3.657e-01	DcP:-2.997e+00	ExV: 2.553e+01	ExI: 3.286e-01	ExP: 8.357e+00	WoV: 1.172e+01	WoI: 3.511e-01	WoP: 4.113e+00	Tm:-2.137e+02	Tr: 2.199e+02
2025/11/21 00:00:33.020 Cnt: 00000029	State: 02	Flags: 0x04170080	Pos: 2.341e+00	Vel: 2.090e+02	Iq: 2.246e+00	DcV: 9.669e+00	DcI: 9.077e-01	DcP:-7.146e+00	ExV: 2.549e+01	ExI: 3.073e-01	ExP: 7.798e+00	WoV: 1.173e+01	WoI: 3.353e-01	WoP: 3.934e+00	Tm: 2.068e+02	Tr: 2.207e+02
2025/11/21 00:00:42.959 Cnt: 00000039	State: 02	Flags: 0x04170080	Pos:-9.655e-01	Vel: 2.343e+02	Iq: 3.290e+00	DcV: 1.052e+01	DcI: 1.231e+00	DcP:-1.184e+01	ExV: 2.548e+01	ExI: 3.302e-01	ExP: 8.394e+00	WoV: 1.173e+01	WoI: 3.413e-01	WoP: 4.002e+00	Tm:-9.047e+01	Tr: 1.522e+02
2025/11/21 00:00:52.935 Cnt: 00000049	State: 04	Flags: 0x04130080	Pos:-2.789e+00	Vel: 1.304e+02	Iq: 1.582e+00	DcV: 1.063e+01	DcI: 4.496e-01	DcP:-3.417e+00	ExV: 2.548e+01	ExI: 3.251e-01	ExP: 8.252e+00	WoV: 1.173e+01	WoI: 3.276e-01	WoP: 3.841e+00	Tm:-2.613e+02	Tr: 2.652e+02
2025/11/21 00:01:02.928 Cnt: 00000059	State: 04	Flags: 0x04130080	Pos:-4.651e-01	Vel: 1.490e+02	Iq: 1.708e+00	DcV: 1.092e+01	DcI: 3.862e-01	DcP:-3.384e+00	ExV: 2.547e+01	ExI: 3.304e-01	ExP: 8.404e+00	WoV: 1.170e+01	WoI: 3.517e-01	WoP: 4.115e+00	Tm:-4.845e+01	Tr: 9.883e+01
2025/11/21 00:01:12.923 Cnt: 00000069	State: 04	Flags: 0x04130080	Pos:-8.770e-03	Vel: 1.882e+02	Iq: 1.218e+00	DcV: 1.119e+01	DcI: 3.632e-01	DcP:-3.042e+00	ExV: 2.546e+01	ExI: 2.991e-01	ExP: 7.569e+00	WoV: 1.171e+01	WoI: 3.493e-01	WoP: 4.088e+00	Tm:-1.479e+01	Tr: 1.044e+02
2025/11/21 00:01:22.920 Cnt: 00000079	State: 04	Flags: 0x04130080	Pos:-8.833e-01	Vel: 1.100e+02	Iq: 1.370e+00	DcV: 1.136e+01	DcI: 2.155e-01	DcP:-1.928e+00	ExV: 2.547e+01	ExI: 3.369e-01	ExP: 8.563e+00	WoV: 1.171e+01	WoI: 3.449e-01	WoP: 4.038e+00	Tm:-1.119e+02	Tr: 1.232e+02
2025/11/21 00:01:32.933 Cnt: 00000089	State: 04	Flags: 0x04030080	Pos:-5.541e-01	Vel: 5.952e+01	Iq: 3.589e+01	DcV: 1.147e+01	DcI: 7.104e-03	DcP: 8.146e-02	ExV: 2.546e+01	ExI: 3.483e-01	ExP: 8.811e+00	WoV: 1.170e+01	WoI: 3.501e-01	WoP: 4.097e+00	Tm:-5.278e+01	Tr: 6.320e+01
2025/11/21 00:01:42.958 Cnt: 00000099	State: 04	Flags: 0x04030080	Pos:-2.443e+00	Vel: 4.599e+01	Iq: 1.817e+01	DcV: 1.147e+01	DcI: 3.520e-02	DcP: 6.892e-02	ExV: 2.545e+01	ExI: 3.428e-01	ExP: 8.702e+00	WoV: 1.173e+01	WoI: 3.203e-01	WoP: 3.757e+00	Tm:-2.301e+02	Tr: 2.305e+02
2025/11/21 00:01:53.022 Cnt: 00000109	State: 04	Flags: 0x04130080	Pos:-2.320e+00	Vel: 1.399e+02	Iq: 1.885e+00	DcV: 1.183e+01	DcI: 4.227e-01	DcP:-3.273e+00	ExV: 2.545e+01	ExI: 3.309e-01	ExP: 8.402e+00	WoV: 1.173e+01	WoI: 3.213e-01	WoP: 3.768e+00	Tm:-2.324e+02	Tr: 2.351e+02
2025/11/21 00:02:03.074 Cnt: 00000119	State: 04	Flags: 0x04030080	Pos:-6.635e-01	Vel: 6.068e+01	Iq: 3.401e+01	DcV: 1.198e+01	DcI: 7.107e-03	DcP: 8.506e-02	ExV: 2.545e+01	ExI: 3.349e-01	ExP: 8.494e+00	WoV: 1.173e+01	WoI: 3.220e-01	WoP: 3.777e+00	Tm:-6.844e+01	Tr: 7.087e+01
2025/11/21 00:02:13.133 Cnt: 00000129	State: 04	Flags: 0x04130080	Pos:-1.370e+00	Vel: 7.609e+01	Iq: 1.025e+00	DcV: 1.211e+01	DcI: 7.660e-02	DcP:-6.078e-01	ExV: 2.545e+01	ExI: 3.213e-01	ExP: 8.147e+00	WoV: 1.177e+01	WoI: 3.171e-01	WoP: 3.732e+00	Tm:-1.518e+02	Tr: 1.547e+02
2025/11/21 00:02:23.189 Cnt: 00000139	State: 04	Flags: 0x04130080	Pos:-3.272e+00	Vel: 1.881e+02	Iq: 1.492e+00	DcV: 1.219e+01	DcI: 3.401e-01	DcP:-3.249e+00	ExV: 2.545e+01	ExI: 3.243e-01	ExP: 8.232e+00	WoV: 1.176e+01	WoI: 3.213e-01	WoP: 3.778e+00	Tm:-2.999e+02	Tr: 3.060e+02
2025/11/21 00:02:33.237 Cnt: 00000149	State: 04	Flags: 0x04030080	Pos:-5.209e-01	Vel: 6.833e+01	Iq: 3.138e+01	DcV: 1.230e+01	DcI: 2.098e-02	DcP: 1.589e-01	ExV: 2.544e+01	ExI: 3.193e-01	ExP: 8.094e+00	WoV: 1.176e+01	WoI: 3.169e-01	WoP: 3.726e+00	Tm:-5.729e+01	Tr: 6.080e+01
2025/11/21 00:02:43.301 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos:-8.314e-01	Vel: 2.332e+02	Iq: 2.960e+00	DcV: 1.277e+01	DcI: 9.792e-01	DcP:-1.132e+01	ExV: 2.545e+01	ExI: 3.440e-01	ExP: 8.721e+00	WoV: 1.176e+01	WoI: 3.170e-01	WoP: 3.728e+00	Tm:-1.107e+02	Tr: 1.656e+02
2025/11/21 00:02:53.353 Cnt: 00000169	State: 04	Flags: 0x04030080	Pos:-3.114e-01	Vel: 8.736e+01	Iq: 3.555e+01	DcV: 1.275e+01	DcI: 6.979e-03	DcP: 8.876e-02	ExV: 2.544e+01	ExI: 3.480e-01	ExP: 8.830e+00	WoV: 1.176e+01	WoI: 3.184e-01	WoP: 3.743e+00	Tm:-2.499e+01	Tr: 3.789e+01
2025/11/21 00:03:03.400 Cnt: 00000179	State: 04	Flags: 0x04030080	Pos:-8.994e-01	Vel: 7.617e+01	Iq: 3.312e+01	DcV: 1.276e+01	DcI: 6.986e-03	DcP: 8.904e-02	ExV: 2.544e+01	ExI: 3.251e-01	ExP: 8.239e+00	WoV: 1.176e+01	WoI: 3.193e-01	WoP: 3.754e+00	Tm:-8.757e+01	Tr: 9.325e+01
2025/11/21 00:03:13.455 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 6.371e-01	Vel: 2.745e+02	Iq: 3.560e+00	DcV: 1.295e+01	DcI: 1.569e+00	DcP:-1.470e+01	ExV: 2.545e+01	ExI: 3.262e-01	ExP: 8.275e+00	WoV: 1.176e+01	WoI: 3.178e-01	WoP: 3.737e+00	Tm: 6.314e+01	Tr: 1.316e+02
